"timeseq_min","i","h","m","s","p"
1373857140,0,0,0,0,0
1373857200,0,0,0,0,0
1373857260,0,0,0,0,0
1373857320,0,0,0,0,0
1373857380,0,0,0,0,0
1373857440,0,0,0,0,0
1373857500,0,0,0,0,0
1373857560,0,0,0,0,0
1373857620,0,0,0,0,0
1373857680,0,0,0,0,0
1373857740,0,0,0,0,0
1373857800,0,0,0,0,0
1373857860,0,0,0,0,0
1373857920,0,0,0,0,0
1373857980,0,0,0,0,0
1373858040,0,0,0,0,0
1373858100,0,0,0,0,0
1373858160,0,0,0,0,0
1373858220,0,0,0,0,0
1373858280,0,0,0,0,0
1373858340,0,0,0,0,0
1373858400,0,0,0,0,0
1373858460,0,0,0,0,0
1373858520,0,0,0,0,0
1373858580,0,0,0,0,0
1373858640,0,0,0,0,0
1373858700,0,0,0,0,0
1373858760,0,0,0,0,0
1373858820,0,0,0,0,0
1373858880,0,0,0,1,0
1373858940,0,0,0,0,0
1373859000,0,0,0,0,0
1373859060,0,0,0,1,0
1373859120,0,0,0,0,0
1373859180,0,0,0,1,0
1373859240,0,0,0,0,0
1373859300,0,0,0,0,0
1373859360,0,0,0,0,0
1373859420,0,0,0,0,0
1373859480,0,0,0,0,0
1373859540,0,0,0,0,0
1373859600,0,0,0,0,0
1373859660,0,0,0,0,0
1373859720,0,0,0,0,0
1373859780,0,0,0,0,0
1373859840,0,0,0,0,0
1373859900,0,0,0,0,0
1373859960,0,0,0,0,0
1373860020,0,0,0,0,0
1373860080,0,0,0,0,0
1373860140,0,0,0,0,0
1373860200,0,0,0,0,0
1373860260,0,0,0,0,0
1373860320,0,0,0,0,0
1373860380,0,0,0,0,0
1373860440,0,0,0,0,0
1373860500,0,0,0,0,0
1373860560,0,0,1,0,0
1373860620,0,0,1,0,0
1373860680,0,0,0,0,0
1373860740,0,0,0,0,0
1373860800,0,0,0,0,0
1373860860,0,0,0,0,0
1373860920,0,0,0,0,0
1373860980,0,0,0,0,0
1373861040,0,0,0,0,0
1373861100,0,0,0,0,0
1373861160,0,0,0,0,0
1373861220,0,0,0,1,0
1373861280,0,0,0,0,0
1373861340,0,0,0,0,0
1373861400,0,0,0,0,0
1373861460,0,0,0,0,0
1373861520,0,0,0,0,0
1373861580,0,0,0,0,0
1373861640,0,0,0,0,0
1373861700,0,0,0,0,0
1373861760,0,0,0,1,0
1373861820,0,0,0,0,0
1373861880,0,0,0,1,0
1373861940,0,0,0,0,0
1373862000,0,0,0,0,0
1373862060,0,0,0,0,0
1373862120,0,0,0,0,0
1373862180,0,0,0,0,1
1373862240,0,0,0,0,0
1373862300,0,0,0,0,0
1373862360,0,0,0,1,0
1373862420,0,0,0,0,0
1373862480,0,0,0,0,0
1373862540,0,0,1,0,0
1373862600,0,0,1,0,0
1373862660,0,0,0,0,0
1373862720,0,0,0,0,0
1373862780,0,0,0,0,0
1373862840,0,0,0,0,0
1373862900,0,0,0,0,0
1373862960,0,0,0,0,0
1373863020,0,0,0,0,0
1373863080,0,0,0,0,0
1373863140,0,0,0,0,0
1373863200,0,0,0,0,0
1373863260,0,0,0,0,0
1373863320,0,0,1,1,0
1373863380,0,0,0,0,0
1373863440,0,0,0,0,0
1373863500,0,0,1,0,0
1373863560,0,0,1,0,0
1373863620,0,0,0,0,0
1373863680,0,0,0,0,0
1373863740,0,0,0,0,0
1373863800,0,0,1,0,0
1373863860,0,1,0,0,0
1373863920,0,1,0,0,0
1373863980,0,1,0,0,0
1373864040,0,0,0,0,0
1373864100,0,0,0,0,0
1373864160,0,0,0,0,0
1373864220,0,0,0,0,1
1373864280,0,0,0,0,0
1373864340,0,2,0,0,0
1373864400,0,2,0,0,0
1373864460,0,2,0,0,0
1373864520,0,2,0,0,0
1373864580,0,3,0,1,0
1373864640,0,4,0,0,0
1373864700,0,4,0,1,0
1373864760,0,4,0,0,0
1373864820,0,3,0,0,0
1373864880,0,5,1,0,0
1373864940,0,6,0,0,0
1373865000,0,5,0,0,0
1373865060,0,5,0,0,0
1373865120,0,4,0,0,0
1373865180,0,4,0,0,1
1373865240,0,4,0,0,0
1373865300,0,4,0,0,0
1373865360,0,3,0,0,0
1373865420,0,3,0,0,0
1373865480,0,2,0,0,0
1373865540,0,3,0,0,0
1373865600,0,3,1,0,0
1373865660,0,3,1,0,1
1373865720,0,2,1,0,0
1373865780,0,1,0,0,1
1373865840,0,1,0,0,0
1373865900,0,1,0,0,0
1373865960,0,1,0,0,0
1373866020,0,2,0,0,0
1373866080,0,2,0,0,0
1373866140,0,3,0,0,0
1373866200,0,2,2,0,0
1373866260,0,2,0,0,0
1373866320,0,2,0,1,0
1373866380,0,2,0,0,0
1373866440,0,2,0,0,0
1373866500,0,2,0,0,0
1373866560,0,2,0,0,0
1373866620,0,3,0,0,0
1373866680,0,3,0,0,0
1373866740,0,2,0,0,0
1373866800,0,1,0,0,0
1373866860,0,1,0,0,0
1373866920,0,1,0,0,0
1373866980,0,1,1,0,0
1373867040,0,1,2,0,0
1373867100,0,1,1,0,0
1373867160,0,1,0,0,0
1373867220,0,1,0,0,0
1373867280,0,1,0,0,0
1373867340,0,1,0,0,0
1373867400,0,1,0,0,0
1373867460,0,1,0,0,0
1373867520,1,1,0,1,0
1373867580,1,1,1,0,0
1373867640,1,1,1,0,0
1373867700,1,1,0,0,0
1373867760,1,1,0,0,0
1373867820,1,1,0,0,0
1373867880,1,2,0,0,0
1373867940,1,2,0,0,0
1373868000,1,3,0,0,0
1373868060,1,3,1,0,0
1373868120,1,4,0,1,0
1373868180,1,4,0,0,0
1373868240,1,4,0,0,0
1373868300,1,2,0,0,0
1373868360,1,2,0,0,0
1373868420,1,2,0,0,0
1373868480,1,2,0,0,0
1373868540,1,2,0,0,1
1373868600,1,3,0,0,0
1373868660,1,3,0,0,0
1373868720,1,3,0,0,0
1373868780,1,3,0,0,0
1373868840,1,3,0,1,1
1373868900,1,3,1,0,1
1373868960,1,3,0,0,0
1373869020,1,2,0,0,0
1373869080,1,2,0,0,0
1373869140,1,2,0,1,1
1373869200,1,2,0,0,0
1373869260,1,1,0,0,0
1373869320,1,1,0,0,0
1373869380,1,1,0,0,0
1373869440,1,1,0,0,0
1373869500,1,1,0,0,0
1373869560,1,1,0,0,0
1373869620,1,2,0,0,0
1373869680,1,2,2,0,0
1373869740,1,2,1,0,0
1373869800,1,2,0,1,0
1373869860,1,1,0,1,0
1373869920,1,1,0,0,0
1373869980,1,3,0,1,0
1373870040,1,3,1,0,0
1373870100,1,3,2,0,0
1373870160,1,1,0,0,0
1373870220,1,2,0,0,0
1373870280,1,2,0,0,0
1373870340,1,3,1,0,0
1373870400,1,3,1,0,0
1373870460,1,3,0,0,0
1373870520,1,3,0,0,0
1373870580,1,3,2,0,0
1373870640,1,3,0,0,0
1373870700,1,3,1,0,0
1373870760,1,3,1,0,0
1373870820,1,3,1,0,0
1373870880,1,3,0,0,0
1373870940,1,4,0,0,0
1373871000,1,4,0,0,0
1373871060,1,3,0,1,1
1373871120,1,2,0,0,0
1373871180,1,2,1,0,0
1373871240,1,2,1,0,0
1373871300,1,2,0,0,0
1373871360,1,2,1,0,0
1373871420,1,2,2,0,1
1373871480,1,2,1,1,0
1373871540,1,3,1,0,0
1373871600,1,4,0,0,0
1373871660,1,4,0,1,0
1373871720,1,4,0,0,0
1373871780,1,5,2,0,0
1373871840,1,5,1,0,1
1373871900,1,5,0,0,0
1373871960,1,4,1,0,0
1373872020,1,4,1,0,0
1373872080,1,4,0,0,0
1373872140,1,4,1,0,0
1373872200,1,5,0,0,0
1373872260,1,4,0,0,0
1373872320,1,4,0,0,0
1373872380,1,4,0,0,0
1373872440,1,4,0,0,0
1373872500,1,5,0,0,0
1373872560,1,6,1,0,0
1373872620,1,5,1,0,0
1373872680,1,4,0,0,0
1373872740,1,4,0,0,1
1373872800,1,4,0,0,0
1373872860,1,4,1,0,0
1373872920,1,3,1,0,1
1373872980,1,3,1,0,0
1373873040,1,3,0,0,0
1373873100,1,3,1,0,0
1373873160,1,3,0,0,0
1373873220,1,4,1,0,0
1373873280,1,6,1,0,0
1373873340,1,6,0,0,0
1373873400,1,6,1,0,0
1373873460,1,6,0,0,0
1373873520,1,5,0,0,0
1373873580,1,7,0,0,0
1373873640,1,7,0,0,0
1373873700,1,7,0,0,0
1373873760,1,6,0,0,0
1373873820,1,4,0,0,0
1373873880,1,4,1,0,0
1373873940,1,3,0,0,0
